2020 National Employment Matrix title,2020 National Employment Matrix code,Occupation type,"Employment, 2020","Employment, 2030","Employment change, 2020–30","Percent employment change, 2020–30","Percent self employed, 2020","Occupational openings, 2020–30 annual average","Median annual wage, 2021(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
"Other installation, maintenance, and repair occupations",49-9000,Summary,3107.6,3372.8,265.2,8.5,2.9,331.6,"$47,230",—,—,—
Control and valve installers and repairers,49-9010,Summary,73.5,77.4,3.9,5.3,—,6.4,"$53,980",—,—,—
Mechanical door repairers,49-9011,Line item,22.8,25.5,2.8,12.2,—,2.2,"$45,060",High school diploma or equivalent,None,Moderate-term on-the-job training
"Control and valve installers and repairers, except mechanical door",49-9012,Line item,50.8,51.9,1.1,2.3,—,4.2,"$62,760",High school diploma or equivalent,None,Moderate-term on-the-job training
"Heating, air conditioning, and refrigeration mechanics and installers",49-9021,Line item,380.4,399.4,19.0,5.0,8.6,38.5,"$48,630",Postsecondary nondegree award,None,Long-term on-the-job training
Home appliance repairers,49-9031,Line item,31.6,30.4,-1.1,-3.6,12.8,2.9,"$44,320",High school diploma or equivalent,None,Moderate-term on-the-job training
"Industrial machinery installation, repair, and maintenance workers",49-9040,Summary,502.3,597.3,95.1,18.9,0.5,56.4,"$59,380",—,—,—
Industrial machinery mechanics,49-9041,Line item,391.8,475.3,83.6,21.3,0.7,45.1,"$59,840",High school diploma or equivalent,None,Long-term on-the-job training
"Maintenance workers, machinery",49-9043,Line item,65.6,72.6,7.0,10.7,—,6.8,"$48,900",High school diploma or equivalent,None,Long-term on-the-job training
Millwrights,49-9044,Line item,44.2,48.7,4.6,10.3,—,4.4,"$60,330",High school diploma or equivalent,None,Apprenticeship
"Refractory materials repairers, except brickmasons",49-9045,Line item,0.8,0.6,-0.1,-14.5,—,0.0,"$54,250",High school diploma or equivalent,None,Moderate-term on-the-job training
Line installers and repairers,49-9050,Summary,240.3,241.0,0.7,0.3,0.9,23.3,"$74,530",—,—,—
Electrical power-line installers and repairers,49-9051,Line item,115.9,117.4,1.5,1.3,0.4,10.2,"$78,310",High school diploma or equivalent,None,Long-term on-the-job training
Telecommunications line installers and repairers,49-9052,Line item,124.4,123.6,-0.8,-0.7,1.4,13.1,"$60,190",High school diploma or equivalent,None,Long-term on-the-job training
Precision instrument and equipment repairers,49-9060,Summary,80.5,84.4,3.9,4.8,11.1,8.9,"$48,630",—,—,—
Camera and photographic equipment repairers,49-9061,Line item,3.7,4.0,0.3,8.0,10.5,0.4,"$38,200",High school diploma or equivalent,None,Long-term on-the-job training
Medical equipment repairers,49-9062,Line item,54.9,58.8,3.9,7.2,11.4,6.3,"$49,910",Associate's degree,None,Moderate-term on-the-job training
Musical instrument repairers and tuners,49-9063,Line item,7.8,7.5,-0.3,-3.9,11.8,0.8,"$37,160",High school diploma or equivalent,None,Apprenticeship
Watch and clock repairers,49-9064,Line item,2.8,2.1,-0.7,-24.9,11.7,0.2,"$44,250",High school diploma or equivalent,None,Long-term on-the-job training
"Precision instrument and equipment repairers, all other",49-9069,Line item,11.4,12.0,0.6,5.6,9.0,1.3,"$57,670",High school diploma or equivalent,None,Long-term on-the-job training
"Maintenance and repair workers, general",49-9071,Line item,1444.1,1561.1,117.0,8.1,0.9,152.3,"$43,180",High school diploma or equivalent,None,Moderate-term on-the-job training
Wind turbine service technicians,49-9081,Line item,6.9,11.7,4.7,68.2,12.0,1.4,"$56,260",Postsecondary nondegree award,None,Long-term on-the-job training
"Miscellaneous installation, maintenance, and repair workers",49-9090,Summary,348.0,370.1,22.1,6.3,7.3,41.5,"$38,030",—,—,—
"Coin, vending, and amusement machine servicers and repairers",49-9091,Line item,27.2,29.7,2.4,9.0,4.5,3.6,"$39,040",High school diploma or equivalent,None,Short-term on-the-job training
Commercial divers,49-9092,Line item,4.0,4.7,0.7,16.8,12.1,0.5,"$60,360",Postsecondary nondegree award,None,Moderate-term on-the-job training
Locksmiths and safe repairers,49-9094,Line item,19.2,18.8,-0.5,-2.3,13.8,1.8,"$46,910",High school diploma or equivalent,None,Long-term on-the-job training
Manufactured building and mobile home installers,49-9095,Line item,3.4,2.8,-0.6,-18.4,12.0,0.3,"$36,360",High school diploma or equivalent,None,Short-term on-the-job training
Riggers,49-9096,Line item,21.3,23.9,2.6,12.1,—,2.5,"$48,130",High school diploma or equivalent,None,Moderate-term on-the-job training
Signal and track switch repairers,49-9097,Line item,6.6,7.0,0.4,5.6,11.9,0.7,"$80,570",High school diploma or equivalent,None,Moderate-term on-the-job training
"Helpers--installation, maintenance, and repair workers",49-9098,Line item,92.9,99.8,6.9,7.4,0.7,12.9,"$33,100",High school diploma or equivalent,None,Short-term on-the-job training
"Installation, maintenance, and repair workers, all other",49-9099,Line item,173.2,183.4,10.2,5.9,11.1,19.2,"$42,570",High school diploma or equivalent,None,Moderate-term on-the-job training
Production occupations,51-0000,Summary,8766.5,8727.4,-39.0,-0.4,2.4,949.7,"$37,710",—,—,—
Supervisors of production workers,51-1000,Summary,616.8,639.6,22.7,3.7,2.1,63.4,"$61,790",—,—,—
First-line supervisors of production and operating workers,51-1011,Line item,616.8,639.6,22.7,3.7,2.1,63.4,"$61,790",High school diploma or equivalent,Less than 5 years,None
Assemblers and fabricators,51-2000,Summary,1731.7,1645.7,-86.0,-5.0,0.6,174.2,"$37,170",—,—,—
"Aircraft structure, surfaces, rigging, and systems assemblers",51-2011,Line item,37.8,31.7,-6.0,-15.9,0.8,3.2,"$49,480",High school diploma or equivalent,None,Moderate-term on-the-job training
"Electrical, electronics, and electromechanical assemblers",51-2020,Summary,297.3,315.3,18.0,6.1,—,33.7,"$37,460",—,—,—
"Coil winders, tapers, and finishers",51-2021,Line item,12.4,10.9,-1.5,-12.4,—,1.1,"$38,360",High school diploma or equivalent,None,Moderate-term on-the-job training
"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",51-2028,Line item,284.8,304.4,19.5,6.9,—,32.7,"$37,460",High school diploma or equivalent,None,Moderate-term on-the-job training
Engine and other machine assemblers,51-2031,Line item,43.7,38.5,-5.1,-11.8,—,4.0,"$47,440",High school diploma or equivalent,None,Moderate-term on-the-job training
Structural metal fabricators and fitters,51-2041,Line item,70.0,62.0,-8.0,-11.4,0.5,5.9,"$45,480",High school diploma or equivalent,None,Moderate-term on-the-job training
Fiberglass laminators and fabricators,51-2051,Line item,19.2,19.1,-0.1,-0.4,0.8,2.1,"$37,650",High school diploma or equivalent,None,Moderate-term on-the-job training
Timing device assemblers and adjusters,51-2061,Line item,1.0,0.8,-0.2,-17.8,—,0.1,"$37,780",High school diploma or equivalent,None,Moderate-term on-the-job training
Miscellaneous assemblers and fabricators,51-2090,Line item,1262.8,1178.2,-84.6,-6.7,0.8,125.2,"$36,590",High school diploma or equivalent,None,Moderate-term on-the-job training
Food processing workers,51-3000,Summary,821.1,853.1,31.9,3.9,3.6,104.4,"$30,480",—,—,—
Bakers,51-3011,Line item,193.4,211.7,18.4,9.5,10.7,28.3,"$29,750",No formal educational credential,None,Long-term on-the-job training
"Butchers and other meat, poultry, and fish processing workers",51-3020,Summary,377.6,378.3,0.7,0.2,0.6,43.5,"$30,280",—,—,—
Butchers and meat cutters,51-3021,Line item,145.0,137.2,-7.8,-5.4,0.6,15.4,"$36,050",No formal educational credential,None,Long-term on-the-job training
"Meat, poultry, and fish cutters and trimmers",51-3022,Line item,153.0,158.0,5.0,3.3,0.6,18.4,"$29,730",No formal educational credential,None,Short-term on-the-job training
Slaughterers and meat packers,51-3023,Line item,79.7,83.1,3.4,4.3,0.6,9.7,"$29,900",No formal educational credential,None,Short-term on-the-job training
Miscellaneous food processing workers,51-3090,Summary,250.1,263.0,12.9,5.1,2.8,32.6,"$35,430",—,—,—
"Food and tobacco roasting, baking, and drying machine operators and tenders",51-3091,Line item,19.0,19.9,0.8,4.4,—,2.3,"$35,480",No formal educational credential,None,Moderate-term on-the-job training
Food batchmakers,51-3092,Line item,159.3,168.3,8.9,5.6,3.1,20.7,"$35,780",High school diploma or equivalent,None,Moderate-term on-the-job training
Food cooking machine operators and tenders,51-3093,Line item,26.8,28.2,1.4,5.1,—,4.8,"$35,890",High school diploma or equivalent,None,Moderate-term on-the-job training
"Food processing workers, all other",51-3099,Line item,45.0,46.7,1.7,3.8,4.5,4.8,"$31,890",No formal educational credential,None,Moderate-term on-the-job training
Metal workers and plastic workers,51-4000,Summary,1728.9,1770.4,41.4,2.4,1.8,182.6,"$42,960",—,—,—
"Forming machine setters, operators, and tenders, metal and plastic",51-4020,Summary,118.8,109.6,-9.2,-7.7,0.3,10.1,"$38,580",—,—,—
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021,Line item,70.5,65.2,-5.3,-7.5,0.3,6.0,"$37,750",High school diploma or equivalent,None,Moderate-term on-the-job training
"Forging machine setters, operators, and tenders, metal and plastic",51-4022,Line item,13.7,11.9,-1.8,-13.2,—,1.1,"$44,520",High school diploma or equivalent,None,Moderate-term on-the-job training
"Rolling machine setters, operators, and tenders, metal and plastic",51-4023,Line item,34.5,32.4,-2.1,-6.1,0.3,3.0,"$46,210",High school diploma or equivalent,None,Moderate-term on-the-job training
"Machine tool cutting setters, operators, and tenders, metal and plastic",51-4030,Summary,299.9,288.3,-11.6,-3.9,0.0,29.3,"$37,720",—,—,—
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",51-4031,Line item,182.0,177.5,-4.5,-2.4,—,17.6,"$37,630",High school diploma or equivalent,None,Moderate-term on-the-job training
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",51-4032,Line item,9.1,7.7,-1.4,-15.5,—,0.7,"$38,580",High school diploma or equivalent,None,Moderate-term on-the-job training
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",51-4033,Line item,69.4,67.1,-2.3,-3.3,0.1,7.5,"$37,550",High school diploma or equivalent,None,Moderate-term on-the-job training
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",51-4034,Line item,23.7,22.7,-1.0,-4.4,—,2.2,"$44,240",High school diploma or equivalent,None,Moderate-term on-the-job training
"Milling and planing machine setters, operators, and tenders, metal and plastic",51-4035,Line item,15.7,13.3,-2.4,-15.1,—,1.2,"$46,850",High school diploma or equivalent,None,Moderate-term on-the-job training
Machinists,51-4041,Line item,363.0,391.8,28.8,7.9,1.5,41.2,"$47,730",High school diploma or equivalent,None,Long-term on-the-job training
"Metal furnace operators, tenders, pourers, and casters",51-4050,Summary,22.2,22.2,0.0,0.1,—,2.0,"$46,640",—,—,—
Metal-refining furnace operators and tenders,51-4051,Line item,15.1,15.5,0.4,2.6,—,1.4,"$46,690",High school diploma or equivalent,None,Moderate-term on-the-job training
"Pourers and casters, metal",51-4052,Line item,7.1,6.7,-0.4,-5.1,—,0.6,"$45,850",High school diploma or equivalent,None,Moderate-term on-the-job training
"Model makers and patternmakers, metal and plastic",51-4060,Summary,5.8,5.6,-0.2,-4.2,—,0.5,"$49,480",—,—,—
"Model makers, metal and plastic",51-4061,Line item,3.4,3.3,-0.2,-4.9,—,0.3,"$55,630",High school diploma or equivalent,None,Moderate-term on-the-job training
"Patternmakers, metal and plastic",51-4062,Line item,2.4,2.3,-0.1,-3.2,—,0.2,"$48,090",High school diploma or equivalent,None,Moderate-term on-the-job training
"Molders and molding machine setters, operators, and tenders, metal and plastic",51-4070,Summary,173.5,163.4,-10.1,-5.8,0.1,15.9,"$36,590",—,—,—
Foundry mold and coremakers,51-4071,Line item,15.8,15.3,-0.5,-3.3,—,1.5,"$37,710",High school diploma or equivalent,None,Moderate-term on-the-job training
"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",51-4072,Line item,157.7,148.2,-9.6,-6.1,0.1,14.4,"$36,370",High school diploma or equivalent,None,Moderate-term on-the-job training
"Multiple machine tool setters, operators, and tenders, metal and plastic",51-4081,Line item,138.4,150.2,11.8,8.6,2.3,15.6,"$37,630",High school diploma or equivalent,None,Moderate-term on-the-job training
Tool and die makers,51-4111,Line item,62.3,63.3,0.9,1.5,0.9,6.4,"$57,000",Postsecondary nondegree award,None,Long-term on-the-job training
"Welding, soldering, and brazing workers",51-4120,Summary,453.3,487.1,33.8,7.5,4.3,52.8,"$46,910",—,—,—
"Welders, cutters, solderers, and brazers",51-4121,Line item,418.2,452.4,34.1,8.2,4.3,49.2,"$47,010",High school diploma or equivalent,None,Moderate-term on-the-job training
"Welding, soldering, and brazing machine setters, operators, and tenders",51-4122,Line item,35.1,34.7,-0.3,-1.0,4.3,3.6,"$38,580",High school diploma or equivalent,None,Moderate-term on-the-job training
Miscellaneous metal workers and plastic workers,51-4190,Summary,91.7,88.9,-2.8,-3.1,2.2,8.8,"$37,630",—,—,—
"Heat treating equipment setters, operators, and tenders, metal and plastic",51-4191,Line item,16.9,16.2,-0.7,-4.0,2.3,1.6,"$38,450",High school diploma or equivalent,None,Moderate-term on-the-job training
"Layout workers, metal and plastic",51-4192,Line item,7.9,7.3,-0.5,-6.6,1.9,0.7,"$51,690",High school diploma or equivalent,None,Moderate-term on-the-job training
"Plating machine setters, operators, and tenders, metal and plastic",51-4193,Line item,39.3,38.2,-1.1,-2.7,2.3,3.8,"$37,200",High school diploma or equivalent,None,Moderate-term on-the-job training
"Tool grinders, filers, and sharpeners",51-4194,Line item,6.2,6.1,-0.1,-2.4,2.3,0.6,"$38,430",High school diploma or equivalent,None,Moderate-term on-the-job training
"Metal workers and plastic workers, all other",51-4199,Line item,21.4,21.0,-0.4,-2.0,2.2,2.1,"$36,990",High school diploma or equivalent,None,Moderate-term on-the-job training
Printing workers,51-5100,Summary,230.7,202.6,-28.0,-12.2,1.8,21.2,"$37,710",—,—,—
Prepress technicians and workers,51-5111,Line item,28.2,23.3,-4.8,-17.1,2.2,3.0,"$42,610",Postsecondary nondegree award,None,None
Printing press operators,51-5112,Line item,160.9,144.9,-15.9,-9.9,1.9,14.7,"$37,770",High school diploma or equivalent,None,Moderate-term on-the-job training
Print binding and finishing workers,51-5113,Line item,41.6,34.4,-7.3,-17.5,1.2,3.5,"$36,590",High school diploma or equivalent,None,Moderate-term on-the-job training
"Textile, apparel, and furnishings workers",51-6000,Summary,537.7,521.1,-16.5,-3.1,9.4,61.9,"$29,420",—,—,—
Laundry and dry-cleaning workers,51-6011,Line item,175.5,196.1,20.6,11.8,0.4,26.6,"$28,350",No formal educational credential,None,Short-term on-the-job training
"Pressers, textile, garment, and related materials",51-6021,Line item,30.3,27.0,-3.3,-10.8,—,2.6,"$28,680",No formal educational credential,None,Short-term on-the-job training
Sewing machine operators,51-6031,Line item,133.5,114.8,-18.6,-14.0,12.3,12.2,"$29,690",No formal educational credential,None,Short-term on-the-job training
Shoe and leather workers,51-6040,Summary,13.6,11.3,-2.3,-16.8,11.1,1.2,"$29,760",—,—,—
Shoe and leather workers and repairers,51-6041,Line item,8.7,7.5,-1.2,-14.0,11.2,0.8,"$31,450",High school diploma or equivalent,None,Moderate-term on-the-job training
Shoe machine operators and tenders,51-6042,Line item,5.0,3.9,-1.1,-21.6,10.8,0.4,"$28,560",High school diploma or equivalent,None,Short-term on-the-job training
"Tailors, dressmakers, and sewers",51-6050,Summary,48.8,45.1,-3.8,-7.7,50.2,5.7,"$31,180",—,—,—
"Sewers, hand",51-6051,Line item,6.9,6.2,-0.7,-9.5,50.3,0.8,"$29,930",No formal educational credential,None,Moderate-term on-the-job training
"Tailors, dressmakers, and custom sewers",51-6052,Line item,42.0,38.9,-3.1,-7.4,50.2,4.9,"$31,420",No formal educational credential,None,Moderate-term on-the-job training
"Textile machine setters, operators, and tenders",51-6060,Summary,66.4,58.0,-8.4,-12.7,1.5,6.5,"$30,050",—,—,—
Textile bleaching and dyeing machine operators and tenders,51-6061,Line item,7.5,6.5,-1.0,-13.8,1.5,0.7,"$29,930",High school diploma or equivalent,None,Short-term on-the-job training
"Textile cutting machine setters, operators, and tenders",51-6062,Line item,12.9,11.5,-1.4,-11.1,1.5,1.3,"$29,960",High school diploma or equivalent,None,Moderate-term on-the-job training
"Textile knitting and weaving machine setters, operators, and tenders",51-6063,Line item,19.6,16.7,-2.9,-14.8,1.5,1.9,"$33,990",High school diploma or equivalent,None,Short-term on-the-job training
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",51-6064,Line item,26.4,23.4,-3.0,-11.5,1.5,2.6,"$30,020",High school diploma or equivalent,None,Moderate-term on-the-job training
"Miscellaneous textile, apparel, and furnishings workers",51-6090,Summary,69.6,68.8,-0.8,-1.1,9.0,7.0,"$37,030",—,—,—
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",51-6091,Line item,16.2,15.5,-0.7,-4.3,1.2,1.8,"$37,550",High school diploma or equivalent,None,Moderate-term on-the-job training
Fabric and apparel patternmakers,51-6092,Line item,4.7,4.2,-0.5,-9.7,1.2,0.5,"$58,650",High school diploma or equivalent,None,Moderate-term on-the-job training
Upholsterers,51-6093,Line item,32.1,33.5,1.4,4.5,18.0,3.0,"$37,420",High school diploma or equivalent,None,Moderate-term on-the-job training
"Textile, apparel, and furnishings workers, all other",51-6099,Line item,16.7,15.6,-1.1,-6.4,1.2,1.8,"$29,750",High school diploma or equivalent,None,Short-term on-the-job training
Woodworkers,51-7000,Summary,257.8,281.2,23.4,9.1,7.8,29.9,"$36,680",—,—,—
Cabinetmakers and bench carpenters,51-7011,Line item,103.9,113.1,9.1,8.8,11.9,11.0,"$37,540",High school diploma or equivalent,None,Moderate-term on-the-job training
Furniture finishers,51-7021,Line item,18.1,19.1,1.0,5.8,14.4,2.6,"$36,580",High school diploma or equivalent,None,Short-term on-the-job training
"Model makers and patternmakers, wood",51-7030,Summary,1.2,1.6,0.4,35.8,24.9,0.2,"$57,410",—,—,—
"Model makers, wood",51-7031,Line item,1.0,1.3,0.4,38.6,25.4,0.1,"$60,780",High school diploma or equivalent,None,Moderate-term on-the-job training
"Patternmakers, wood",51-7032,Line item,0.2,0.3,0.1,24.7,22.9,0.0,"$46,920",High school diploma or equivalent,None,Moderate-term on-the-job training
"Woodworking machine setters, operators, and tenders",51-7040,Summary,125.0,135.8,10.7,8.6,2.1,14.9,"$35,850",—,—,—
"Sawing machine setters, operators, and tenders, wood",51-7041,Line item,50.5,53.9,3.4,6.7,5.1,6.2,"$35,340",High school diploma or equivalent,None,Moderate-term on-the-job training
"Woodworking machine setters, operators, and tenders, except sawing",51-7042,Line item,74.6,81.9,7.3,9.8,—,8.7,"$36,090",High school diploma or equivalent,None,Moderate-term on-the-job training
"Woodworkers, all other",51-7099,Line item,9.5,11.6,2.1,22.2,23.1,1.2,"$35,610",High school diploma or equivalent,None,Moderate-term on-the-job training
Plant and system operators,51-8000,Summary,301.9,295.9,-6.0,-2.0,0.6,28.5,"$61,350",—,—,—
"Power plant operators, distributors, and dispatchers",51-8010,Summary,49.0,41.9,-7.1,-14.4,—,3.5,"$94,790",—,—,—
Nuclear power reactor operators,51-8011,Line item,5.3,3.6,-1.8,-32.9,—,0.2,"$104,260",High school diploma or equivalent,None,Long-term on-the-job training
Power distributors and dispatchers,51-8012,Line item,10.0,9.3,-0.7,-7.3,—,0.8,"$98,530",High school diploma or equivalent,None,Long-term on-the-job training
Power plant operators,51-8013,Line item,33.6,29.0,-4.6,-13.6,—,2.5,"$80,850",High school diploma or equivalent,None,Long-term on-the-job training
Stationary engineers and boiler operators,51-8021,Line item,30.7,32.5,1.8,5.8,—,4.0,"$63,500",High school diploma or equivalent,None,Long-term on-the-job training
Water and wastewater treatment plant and system operators,51-8031,Line item,122.1,119.0,-3.1,-2.5,1.3,10.5,"$47,880",High school diploma or equivalent,None,Long-term on-the-job training
Miscellaneous plant and system operators,51-8090,Summary,100.1,102.4,2.3,2.3,0.3,10.5,"$76,670",—,—,—
Chemical plant and system operators,51-8091,Line item,29.5,29.4,-0.1,-0.5,0.3,3.0,"$70,200",High school diploma or equivalent,None,Moderate-term on-the-job training
Gas plant operators,51-8092,Line item,15.1,14.8,-0.3,-1.8,—,1.5,"$77,850",High school diploma or equivalent,None,Long-term on-the-job training
"Petroleum pump system operators, refinery operators, and gaugers",51-8093,Line item,40.6,42.8,2.3,5.6,0.3,4.4,"$79,540",High school diploma or equivalent,None,Moderate-term on-the-job training
"Plant and system operators, all other",51-8099,Line item,14.9,15.4,0.5,3.1,—,1.6,"$50,250",High school diploma or equivalent,None,Moderate-term on-the-job training
Other production occupations,51-9000,Summary,2539.9,2517.9,-22.0,-0.9,2.0,283.6,"$37,710",—,—,—
"Chemical processing machine setters, operators, and tenders",51-9010,Summary,143.1,140.7,-2.4,-1.7,0.3,13.9,"$47,580",—,—,—
Chemical equipment operators and tenders,51-9011,Line item,93.5,88.6,-4.9,-5.3,0.3,8.6,"$48,090",High school diploma or equivalent,None,Moderate-term on-the-job training
"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",51-9012,Line item,49.6,52.1,2.5,5.0,0.3,5.3,"$46,030",High school diploma or equivalent,None,Moderate-term on-the-job training
"Crushing, grinding, polishing, mixing, and blending workers",51-9020,Summary,174.4,175.6,1.3,0.7,0.4,19.1,"$38,160",—,—,—
"Crushing, grinding, and polishing machine setters, operators, and tenders",51-9021,Line item,32.6,32.5,-0.1,-0.4,0.4,3.5,"$38,760",High school diploma or equivalent,None,Moderate-term on-the-job training
"Grinding and polishing workers, hand",51-9022,Line item,23.7,20.5,-3.2,-13.6,0.5,2.1,"$35,670",No formal educational credential,None,Moderate-term on-the-job training
"Mixing and blending machine setters, operators, and tenders",51-9023,Line item,118.1,122.7,4.6,3.9,0.4,13.5,"$38,420",High school diploma or equivalent,None,Moderate-term on-the-job training
Cutting workers,51-9030,Summary,61.6,57.4,-4.2,-6.9,1.0,6.8,"$37,660",—,—,—
"Cutters and trimmers, hand",51-9031,Line item,8.1,5.7,-2.4,-29.7,1.0,0.6,"$30,230",No formal educational credential,None,Short-term on-the-job training
"Cutting and slicing machine setters, operators, and tenders",51-9032,Line item,53.6,51.7,-1.9,-3.5,1.0,6.2,"$37,810",High school diploma or equivalent,None,Moderate-term on-the-job training
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",51-9041,Line item,65.6,66.3,0.8,1.2,—,6.7,"$37,660",High school diploma or equivalent,None,Moderate-term on-the-job training
"Furnace, kiln, oven, drier, and kettle operators and tenders",51-9051,Line item,17.8,18.7,0.9,4.9,5.3,1.8,"$43,710",High school diploma or equivalent,None,Moderate-term on-the-job training
"Inspectors, testers, sorters, samplers, and weighers",51-9061,Line item,557.9,489.8,-68.1,-12.2,1.5,54.9,"$38,580",High school diploma or equivalent,None,Moderate-term on-the-job training
Jewelers and precious stone and metal workers,51-9071,Line item,32.4,32.1,-0.3,-0.8,42.8,3.8,"$46,640",High school diploma or equivalent,None,Long-term on-the-job training
Dental and ophthalmic laboratory technicians and medical appliance technicians,51-9080,Summary,75.2,84.4,9.2,12.3,4.1,11.0,"$39,090",—,—,—
Dental laboratory technicians,51-9081,Line item,33.1,37.2,4.0,12.2,4.0,4.9,"$45,770",High school diploma or equivalent,None,Moderate-term on-the-job training
Medical appliance technicians,51-9082,Line item,14.6,16.7,2.1,14.4,4.1,2.2,"$45,280",High school diploma or equivalent,None,Moderate-term on-the-job training
Ophthalmic laboratory technicians,51-9083,Line item,27.5,30.6,3.1,11.2,4.1,4.0,"$37,270",High school diploma or equivalent,None,Moderate-term on-the-job training
Packaging and filling machine operators and tenders,51-9111,Line item,371.8,392.0,20.2,5.4,0.2,43.1,"$35,960",High school diploma or equivalent,None,Moderate-term on-the-job training
Painting workers,51-9120,Summary,155.8,167.3,11.6,7.4,3.6,17.2,"$38,670",—,—,—
"Painting, coating, and decorating workers",51-9123,Line item,12.4,13.2,0.8,6.3,3.6,1.3,"$37,330",No formal educational credential,None,Moderate-term on-the-job training
"Coating, painting, and spraying machine setters, operators, and tenders",51-9124,Line item,143.4,154.2,10.8,7.5,3.7,15.9,"$39,130",High school diploma or equivalent,None,Moderate-term on-the-job training
Semiconductor processing technicians,51-9141,Line item,33.2,32.6,-0.6,-1.7,1.9,3.5,"$39,870",High school diploma or equivalent,None,Moderate-term on-the-job training
Photographic process workers and processing machine operators,51-9151,Line item,9.3,8.5,-0.8,-8.7,7.0,1.3,"$36,590",High school diploma or equivalent,None,Short-term on-the-job training
Computer numerically controlled tool operators and programmers,51-9160,Summary,185.5,189.0,3.5,1.9,1.9,20.6,"$47,380",—,—,—
Computer numerically controlled tool operators,51-9161,Line item,158.4,154.5,-3.9,-2.5,1.9,16.5,—,High school diploma or equivalent,None,Moderate-term on-the-job training
Computer numerically controlled tool programmers,51-9162,Line item,27.1,34.5,7.4,27.4,1.9,4.1,—,Postsecondary nondegree award,None,Moderate-term on-the-job training
Miscellaneous production workers,51-9190,Summary,656.4,663.4,7.1,1.1,1.5,79.8,"$35,840",—,—,—
Adhesive bonding machine operators and tenders,51-9191,Line item,12.5,12.6,0.1,0.9,—,1.5,"$37,630",High school diploma or equivalent,None,Moderate-term on-the-job training
"Cleaning, washing, and metal pickling equipment operators and tenders",51-9192,Line item,14.7,15.7,0.9,6.3,2.0,1.7,"$35,090",High school diploma or equivalent,None,Moderate-term on-the-job training
Cooling and freezing equipment operators and tenders,51-9193,Line item,8.4,8.9,0.5,6.0,2.0,1.0,"$40,390",High school diploma or equivalent,None,Moderate-term on-the-job training
Etchers and engravers,51-9194,Line item,9.9,10.1,0.2,2.4,3.0,1.3,"$36,590",High school diploma or equivalent,None,Moderate-term on-the-job training
"Molders, shapers, and casters, except metal and plastic",51-9195,Line item,46.3,53.3,7.0,15.1,10.2,5.7,"$37,500",High school diploma or equivalent,None,Long-term on-the-job training
"Paper goods machine setters, operators, and tenders",51-9196,Line item,102.3,94.9,-7.4,-7.3,—,10.2,"$44,820",High school diploma or equivalent,None,Moderate-term on-the-job training
Tire builders,51-9197,Line item,20.6,20.5,-0.2,-0.8,—,2.0,"$47,940",High school diploma or equivalent,None,Moderate-term on-the-job training
Helpers--production workers,51-9198,Line item,238.0,227.2,-10.8,-4.5,0.3,31.8,"$30,000",High school diploma or equivalent,None,Short-term on-the-job training
"Production workers, all other",51-9199,Line item,203.6,220.3,16.7,8.2,1.9,24.6,—,High school diploma or equivalent,None,Moderate-term on-the-job training
Transportation and material moving occupations,53-0000,Summary,12673.2,13793.3,1120.1,8.8,4.2,1770.7,"$36,860",—,—,—
Supervisors of transportation and material moving workers,53-1000,Summary,547.1,579.3,32.3,5.9,11.1,62.8,"$54,830",—,—,—
Aircraft cargo handling supervisors,53-1041,Line item,11.0,12.3,1.3,11.9,11.8,1.4,"$53,540",High school diploma or equivalent,Less than 5 years,None
"First-line supervisors of transportation and material-moving workers, except aircraft cargo handling supervisors",53-1047,Line item,536.1,567.0,30.9,5.8,11.1,61.5,—,High school diploma or equivalent,Less than 5 years,None
Air transportation workers,53-2000,Summary,251.3,299.4,48.1,19.1,1.5,35.7,"$82,170",—,—,—
Aircraft pilots and flight engineers,53-2010,Summary,113.9,128.6,14.7,12.9,2.6,14.5,"$134,630",—,—,—
"Airline pilots, copilots, and flight engineers",53-2011,Line item,74.7,85.0,10.3,13.7,—,9.6,"$202,180",Bachelor's degree,Less than 5 years,Moderate-term on-the-job training
Commercial pilots,53-2012,Line item,39.2,43.6,4.5,11.4,7.4,4.9,"$99,640",High school diploma or equivalent,None,Moderate-term on-the-job training
Air traffic controllers and airfield operations specialists,53-2020,Summary,34.9,37.2,2.3,6.5,—,3.7,"$90,600",—,—,—
Air traffic controllers,53-2021,Line item,24.5,25.5,0.9,3.8,—,2.5,"$129,750",Associate's degree,None,Long-term on-the-job training
Airfield operations specialists,53-2022,Line item,10.4,11.7,1.3,12.9,—,1.2,"$47,880",High school diploma or equivalent,None,Long-term on-the-job training
